Country,Sex-ratio,Fertility,GDP per capita,Meat consumption,Median age,Population growth,Suicide rate,Urbanization rate,Net Migration per 1000 ppl
Afghanistan,1.03,4.5,2182.0,17.3,27.4,2.41,6.4,26.0,3.3
Albania,0.98,1.6,14866.0,,32.9,0.26,5.6,62.1,−9.4
Algeria,1.03,3.0,16091.0,18.3,28.1,1.89,3.3,73.7,−0.8
American Samoa,1.0,,,24.9,25.5,-0.26,,87.2,
Andorra,1.06,1.3,,,44.3,0.63,,87.9,
Angola,0.95,5.5,6763.0,19.0,15.9,3.12,8.9,66.8,1.4
Antigua and Barbuda,0.89,2.0,30593.0,56.0,31.9,1.03,0.5,24.4,2.1
Argentina,0.98,2.3,19971.0,79.7,31.7,0.88,9.1,92.1,0.1
Armenia,0.95,1.8,11845.0,27.7,35.1,0.17,5.7,63.3,−2.1
Aruba,0.9,1.9,,,39.3,0.44,,43.7,2.4
Australia,0.99,1.7,54799.0,108.2,38.7,1.6,11.7,86.2,8.6
Austria,0.96,1.5,55171.0,94.1,44.0,0.46,11.4,58.7,6.3
Azerbaijan,0.98,1.7,19156.0,15.9,32.3,1.35,2.6,56.4,0.2
The Bahamas,0.96,1.8,33432.0,123.6,32.0,1.52,1.6,83.2,
Bahrain,1.53,2.0,51991.0,70.7,32.3,1.92,5.7,89.5,6.4
Bangladesh,0.97,2.0,5453.0,3.1,26.7,1.19,6.1,38.2,−3.0
Barbados,0.94,1.6,19364.0,88.7,38.6,0.5,0.4,31.2,−0.3
Belarus,0.87,1.4,21224.0,58.6,40.0,-0.1,21.4,79.5,1.5
Belgium,0.97,1.6,50904.0,86.1,41.4,0.85,15.7,98.1,4.7
Belize,1.0,2.3,8791.0,74.7,22.7,2.43,5.9,46.0,4.4
Benin,0.97,4.8,3648.0,16.2,18.2,2.73,15.7,48.4,−0.9
Bermuda,0.94,1.6,,,43.4,0.37,,100.0,
Bhutan,1.08,2.0,10627.0,3.0,27.6,1.68,11.6,42.3,0.1
Bolivia,0.98,2.7,8525.0,50.0,24.3,1.65,12.9,70.1,−1.1
Bosnia and Herzegovina,0.95,1.3,14894.0,21.4,42.1,-0.14,6.4,49.0,−14.5
Botswana,0.93,2.9,19388.0,27.3,24.5,0.86,11.5,70.9,−7.1
Brazil,0.97,1.7,17106.0,82.4,32.6,0.87,6.1,87.1,0.0
Brunei,0.96,1.8,85011.0,,30.2,1.4,4.5,78.3,−0.4
Bulgaria,0.95,1.6,26034.0,69.4,42.7,-0.6,7.9,75.7,
Burkina Faso,0.96,5.2,2181.0,11.2,17.3,2.86,14.8,30.6,−1.5
Burundi,0.99,5.4,724.0,3.5,17.0,3.19,15.0,13.7,−1.5
Cambodia,0.95,2.5,5004.0,13.9,25.3,1.76,5.9,24.2,−2.0
Cameroon,0.99,4.6,4099.0,14.4,18.5,2.54,19.5,57.6,−0.3
Canada,0.98,1.5,52144.0,108.1,42.2,1.14,10.4,81.6,7.1
Cape Verde,0.95,2.3,8716.0,26.3,25.4,0.78,15.1,66.7,−3.2
Central African Republic,0.99,4.7,864.0,28.0,19.7,1.99,11.6,42.2,−17.8
Chad,0.98,5.7,2603.0,14.3,17.8,3.0,15.5,23.5,1.5
Chile,0.97,1.6,27150.0,66.4,34.4,0.9,9.7,87.7,1.9
China,1.06,1.7,20984.0,52.4,37.4,0.49,8.0,61.4,−0.2
Colombia,0.98,1.8,16265.0,33.9,30.0,1.32,7.0,81.4,−0.8
Comoros,0.94,4.2,2898.0,7.6,19.9,2.44,11.1,29.4,−2.7
Democratic Republic of the Congo,1.0,5.9,873.0,4.8,18.6,2.74,9.7,45.6,
Republic of the Congo,1.01,4.4,7336.0,13.3,19.7,2.61,9.3,67.8,
Costa Rica,1.0,1.8,18651.0,40.4,31.3,1.42,7.5,80.8,0.8
Croatia,0.93,1.5,29207.0,49.9,43.0,-0.32,11.5,57.6,−1.8
Cuba,0.99,1.6,8822.0,32.2,41.5,-0.05,10.1,77.2,−1.4
Curacao,0.92,1.7,,,36.1,0.73,,89.1,
Cyprus,1.05,1.3,42956.0,131.3,36.8,1.11,4.5,66.8,4.0
Czech Republic,0.97,1.7,40585.0,77.3,42.1,0.18,10.5,74.1,1.1
Denmark,0.99,1.7,55675.0,145.9,42.2,0.36,9.2,88.1,3.8
Djibouti,0.83,2.7,5855.0,17.1,23.9,1.52,8.5,78.1,1.4
Dominica,1.02,1.9,12851.0,67.1,33.5,0.4,,71.1,
Dominican Republic,1.02,2.3,20625.0,37.8,28.1,1.26,10.5,82.5,−3.1
Ecuador,0.99,2.4,11866.0,45.0,27.7,1.6,7.2,64.2,−0.5
Egypt,1.05,3.3,14800.0,22.5,23.9,1.66,4.4,42.8,−0.6
