"place","years","comeconAndWarsawPact","pop2022"
"Afghanistan","1978-1992","false",""
"Albania","1946-1991","true",""
"Angola","1975-1992","false",""
"Benin","1975-1990","false",""
"Bulgaria","1946-1990","true",""
"China","1949-on","false",""
"Congo (People's Rep.)","1969-1992","false",""
"Cuba","1959-","true",""
"Czechoslovakia","1948-1989","true",""
"East Germany","1949-1990","true",""
"Ethiopia","1974-1991","false",""
"Grenada","1979-1983","false",""
"Hungary","1949-1989","true",""
"Kampuchea (Cambodia)","1979-1989","false",""
"Laos","1975-on","false",""
"Mongolia","1924-1992","true",""
"Mozambique","1975-1990","false",""
"Nicaragua","1979-1990","false",""
"North Korea","1945-on","false",""
"Poland","1947-1989","true",""
"Romania","1947-1989","true",""
"Somalia","1969-1991","false",""
"South Yemen","1967-1990","false",""
"Soviet Union","1918-1991","true",""
"Vietnam (North, then unified)","1945-1976","true",""
"Yugoslavia","1945-1948","false",""
