"country","humanDevelopmentIndex","pop2022"
"Tuvalu","0","11.3120"
"Somalia","0","17597.5110"
"Niger","0.3540","26207.9770"
"Central African Republic","0.3670","5579.1440"
"South Sudan","0.3880","10913.1640"
"Chad","0.4040","17723.3150"
"Burundi","0.4170","12889.5760"
"Sierra Leone","0.4190","8605.7180"
"Burkina Faso","0.4230","22673.7620"
"Mali","0.4270","22593.5900"
"Liberia","0.4350","5302.6810"
"Mozambique","0.4370","32969.5180"
"Eritrea","0.4400","3684.0320"
"Yemen","0.4520","33696.6140"
"Guinea-Bissau","0.4550","2105.5660"
"DR Congo","0.4570","99010.2120"
"Guinea","0.4590","13859.3410"
"Gambia","0.4600","2705.9920"
"Ethiopia","0.4630","123379.9240"
"Djibouti","0.4760","1120.8490"
"Malawi","0.4770","20405.3170"
"Ivory Coast","0.4920","28160.5420"
"Haiti","0.4980","11584.9960"
"Afghanistan","0.4980","41128.7710"
"Sudan","0.5020","46874.2040"
"Comoros","0.5030","836.7740"
"Togo","0.5030","8848.6990"
"Senegal","0.5050","17316.4490"
"Benin","0.5150","13352.8640"
"Uganda","0.5160","47249.5850"
"Madagascar","0.5190","29611.7140"
"Lesotho","0.5200","2305.8250"
"Mauritania","0.5200","4736.1390"
"Rwanda","0.5240","13776.6980"
"Nigeria","0.5320","218541.2120"
"Zimbabwe","0.5350","16320.5370"
"Syria","0.5360","22125.2490"
"Tanzania","0.5380","65497.7480"
"Papua New Guinea","0.5440","10142.6190"
"Solomon Islands","0.5460","724.2730"
"Cameroon","0.5560","27914.5360"
"Pakistan","0.5620","235824.8620"
"Nepal","0.5740","30547.5800"
"Myanmar","0.5780","54179.3060"
"Angola","0.5810","35588.9870"
"Cambodia","0.5820","16767.8420"
"Eswatini","0.5880","1201.6700"
"Zambia","0.5880","20017.6750"
"Sao Tome and Principe","0.5890","227.3800"
"Kenya","0.5900","54027.4870"
"Equatorial Guinea","0.5910","1674.9080"
"Ghana","0.5920","33475.8700"
"Laos","0.6010","7529.4750"
"Vanuatu","0.6030","326.7400"
